Date : 2022-06-06 12:23:46
Directory : c:\Coding\Unity\Theogony
Total : 186 files,  54828 codes, 1580 comments, 2997 blanks, all 59405 lines

Languages
+-----------+------------+------------+------------+------------+------------+
| language  | files      | code       | comment    | blank      | total      |
+-----------+------------+------------+------------+------------+------------+
| Log       |         19 |     34,326 |          0 |        570 |     34,896 |
| C#        |        113 |     11,662 |      1,220 |      1,573 |     14,455 |
| XML       |          7 |      5,171 |         49 |          7 |      5,227 |
| ShaderLab |         17 |      2,460 |        290 |        653 |      3,403 |
| JSON      |         17 |        685 |          0 |         18 |        703 |
| HLSL      |          4 |        323 |         21 |         87 |        431 |
| Markdown  |          9 |        201 |          0 |         89 |        290 |
+-----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                          | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                             |        186 |     54,828 |      1,580 |      2,997 |     59,405 |
| Assets                                                                                                        |        158 |     14,857 |      1,531 |      2,418 |     18,806 |
| Assets\+AI                                                                                                    |         23 |        813 |          5 |        105 |        923 |
| Assets\+AI\FSM                                                                                                |         21 |        742 |          5 |         88 |        835 |
| Assets\+AI\FSM\Scripts                                                                                        |         21 |        742 |          5 |         88 |        835 |
| Assets\+AI\FSM\Scripts\Bases                                                                                  |          6 |        196 |          0 |         23 |        219 |
| Assets\+AI\Oceanus                                                                                            |          2 |         71 |          0 |         17 |         88 |
| Assets\+AI\Oceanus\Scripts                                                                                    |          2 |         71 |          0 |         17 |         88 |
| Assets\+Scripts                                                                                               |         60 |      6,590 |        208 |        712 |      7,510 |
| Assets\+Scripts\Camera                                                                                        |          2 |        370 |         22 |         60 |        452 |
| Assets\+Scripts\Editors                                                                                       |          2 |          0 |         59 |          9 |         68 |
| Assets\+Scripts\Enemies                                                                                       |          5 |        344 |          2 |         52 |        398 |
| Assets\+Scripts\Items                                                                                         |          7 |        410 |          1 |         74 |        485 |
| Assets\+Scripts\LevelElements                                                                                 |          4 |        306 |          7 |         38 |        351 |
| Assets\+Scripts\Oceanus                                                                                       |          6 |        380 |          6 |         76 |        462 |
| Assets\+Scripts\Player                                                                                        |          7 |      2,663 |         50 |        124 |      2,837 |
| Assets\+Scripts\UI                                                                                            |         26 |      1,824 |         58 |        233 |      2,115 |
| Assets\+VascoThings                                                                                           |          5 |         75 |         92 |         28 |        195 |
| Assets\+VascoThings\Oceanus                                                                                   |          5 |         75 |         92 |         28 |        195 |
| Assets\+VascoThings\Oceanus\Actions                                                                           |          3 |         18 |         91 |          6 |        115 |
| Assets\-CG                                                                                                    |          2 |        172 |          3 |         31 |        206 |
| Assets\-CG\FogWall                                                                                            |          1 |         76 |          1 |         10 |         87 |
| Assets\-CG\WaterShader                                                                                        |          1 |         96 |          2 |         21 |        119 |
| Assets\-Samples                                                                                               |         45 |      4,150 |        872 |        757 |      5,779 |
| Assets\-Samples\Input System                                                                                  |         45 |      4,150 |        872 |        757 |      5,779 |
| Assets\-Samples\Input System\1.3.0                                                                            |         45 |      4,150 |        872 |        757 |      5,779 |
| Assets\-Samples\Input System\1.3.0\Custom Binding Composite                                                   |          3 |         53 |        119 |         16 |        188 |
| Assets\-Samples\Input System\1.3.0\Custom Device                                                              |          3 |        127 |        207 |         26 |        360 |
| Assets\-Samples\Input System\1.3.0\Custom Device Usages                                                       |          3 |         54 |         68 |         11 |        133 |
| Assets\-Samples\Input System\1.3.0\Gamepad Mouse Cursor                                                       |          2 |         16 |          0 |          7 |         23 |
| Assets\-Samples\Input System\1.3.0\In-Game Hints                                                              |          3 |        568 |         45 |         49 |        662 |
| Assets\-Samples\Input System\1.3.0\Input Recorder                                                             |          4 |        496 |        119 |         95 |        710 |
| Assets\-Samples\Input System\1.3.0\InputDeviceTester                                                          |          1 |          4 |          0 |          1 |          5 |
| Assets\-Samples\Input System\1.3.0\On-Screen Controls                                                         |          1 |          4 |          0 |          1 |          5 |
| Assets\-Samples\Input System\1.3.0\Rebinding UI                                                               |          6 |        551 |        113 |        107 |        771 |
| Assets\-Samples\Input System\1.3.0\Simple Demo                                                                |          7 |        766 |         33 |        117 |        916 |
| Assets\-Samples\Input System\1.3.0\Simple Multiplayer                                                         |          3 |         18 |          2 |          9 |         29 |
